"","location","error","Best_error","Worst_error","distance","number"
"195","attic",3908.79975215443,1789.66010393664,4255.02175239061,24,4
"196","attic",2811.67944258299,1789.66010393664,4255.02175239061,24,4
"197","attic",13753.4723955993,1789.66010393664,4255.02175239061,24,4
"198","attic",6552.66205145492,1789.66010393664,4255.02175239061,24,4
"199","attic",2330.53095389263,1789.66010393664,4255.02175239061,24,4
"200","attic",2410.00961100406,1789.66010393664,4255.02175239061,24,4
"201","attic",3586.18869470192,1789.66010393664,4255.02175239061,24,5
"202","attic",5180.98748703153,1789.66010393664,4255.02175239061,24,5
"203","attic",13058.3396502297,1789.66010393664,4255.02175239061,24,5
"204","attic",2936.19174507677,1789.66010393664,4255.02175239061,24,5
"205","attic",5212.40401206251,1789.66010393664,4255.02175239061,24,5
"206","attic",6429.50967149573,1789.66010393664,4255.02175239061,24,5
"207","attic",2824.56357414008,1789.66010393664,4255.02175239061,24,5
"208","attic",2124.67359298101,1789.66010393664,4255.02175239061,24,5
"209","attic",2411.00760217676,1789.66010393664,4255.02175239061,24,5
"210","attic",2097.62866265638,1789.66010393664,4255.02175239061,24,5
"211","attic",4931.64469253287,1789.66010393664,4255.02175239061,24,6
"212","attic",4019.77969991687,1789.66010393664,4255.02175239061,24,6
"213","attic",2361.42306217371,1789.66010393664,4255.02175239061,24,6
"214","attic",4679.19161640222,1789.66010393664,4255.02175239061,24,6
"215","attic",2219.89568369447,1789.66010393664,4255.02175239061,24,6
"216","attic",4249.66446111063,1789.66010393664,4255.02175239061,24,6
"217","attic",3081.20401573883,1789.66010393664,4255.02175239061,24,6
"218","attic",2315.35627455189,1789.66010393664,4255.02175239061,24,6
"219","attic",4871.51868352455,1789.66010393664,4255.02175239061,24,6
"220","attic",4427.44197643827,1789.66010393664,4255.02175239061,24,6
"221","attic",1970.55566616908,1789.66010393664,4255.02175239061,24,7
"222","attic",4585.1710173873,1789.66010393664,4255.02175239061,24,7
"223","attic",3342.52991477207,1789.66010393664,4255.02175239061,24,7
"224","attic",5517.05653008495,1789.66010393664,4255.02175239061,24,7
"225","attic",4248.43727864274,1789.66010393664,4255.02175239061,24,7
"226","attic",2352.18008693343,1789.66010393664,4255.02175239061,24,7
"227","attic",4205.40012983707,1789.66010393664,4255.02175239061,24,7
"228","attic",10053.1653156712,1789.66010393664,4255.02175239061,24,7
"229","attic",4410.73907506622,1789.66010393664,4255.02175239061,24,7
"230","attic",1834.18660623643,1789.66010393664,4255.02175239061,24,7
"231","attic",4116.47729535281,1789.66010393664,4255.02175239061,24,8
"232","attic",6038.18213148711,1789.66010393664,4255.02175239061,24,8
"233","attic",1948.55952765694,1789.66010393664,4255.02175239061,24,8
"234","attic",2957.19399811132,1789.66010393664,4255.02175239061,24,8
"235","attic",4304.11269616142,1789.66010393664,4255.02175239061,24,8
"236","attic",4811.60694475557,1789.66010393664,4255.02175239061,24,8
"237","attic",1804.60113827673,1789.66010393664,4255.02175239061,24,8
"238","attic",2362.9089374711,1789.66010393664,4255.02175239061,24,8
"239","attic",2200.24273677342,1789.66010393664,4255.02175239061,24,8
"240","attic",2443.72616820696,1789.66010393664,4255.02175239061,24,8
"241","attic",3424.7225113731,1789.66010393664,4255.02175239061,24,9
"242","attic",3267.8077922202,1789.66010393664,4255.02175239061,24,9
"243","attic",3268.09022278128,1789.66010393664,4255.02175239061,24,9
"244","attic",2882.79363319959,1789.66010393664,4255.02175239061,24,9
"245","attic",2195.13548381238,1789.66010393664,4255.02175239061,24,9
"246","attic",2107.45296790382,1789.66010393664,4255.02175239061,24,9
"247","attic",7770.83249200071,1789.66010393664,4255.02175239061,24,9
"248","attic",3126.80639702338,1789.66010393664,4255.02175239061,24,9
"249","attic",2833.04702977089,1789.66010393664,4255.02175239061,24,9
"250","attic",3476.27773606437,1789.66010393664,4255.02175239061,24,9
"251","attic",3505.19821224889,1789.66010393664,4255.02175239061,24,10
"252","attic",2896.15953046535,1789.66010393664,4255.02175239061,24,10
"253","attic",2224.45967852727,1789.66010393664,4255.02175239061,24,10
"254","attic",1982.9043584374,1789.66010393664,4255.02175239061,24,10
"255","attic",1914.40048171041,1789.66010393664,4255.02175239061,24,10
"256","attic",3193.80291653643,1789.66010393664,4255.02175239061,24,10
"257","attic",1810.74149893726,1789.66010393664,4255.02175239061,24,10
"258","attic",1897.21709218455,1789.66010393664,4255.02175239061,24,10
"259","attic",2537.72962702667,1789.66010393664,4255.02175239061,24,10
"260","attic",3424.85978052974,1789.66010393664,4255.02175239061,24,10
"261","attic",1819.40504876718,1789.66010393664,4255.02175239061,24,11
"262","attic",3734.13438615156,1789.66010393664,4255.02175239061,24,11
"263","attic",2419.75491832886,1789.66010393664,4255.02175239061,24,11
"264","attic",2580.62350264514,1789.66010393664,4255.02175239061,24,11
"265","attic",2303.56966826849,1789.66010393664,4255.02175239061,24,11
"266","attic",3264.55727864729,1789.66010393664,4255.02175239061,24,11
"267","attic",4501.92947825439,1789.66010393664,4255.02175239061,24,11
